nome,nparti,semana,ano,data,cidade,estado,5km,10km,21km,42km
CORRIDA AFRODITE 2025,5040,34,2025,17/08/2025,SANTOS,SP,0,1,0,0
NIGHT RUN 2025 - ETAPA 2 - RIO DE JANEIRO,5029,45,2025,07/11/2025,RIO DE JANEIRO,RJ,0,1,0,0
CORRIDA VERDEMAR 2025,5026,40,2025,28/09/2025,BELO HORIZONTE,MG,1,1,1,0
CORRIDA DA CAVALARIA,5020,44,2025,01/11/2025,BELO HORIZONTE,MG,1,1,0,0
MARATONA DE LONDRINA 2025,4997,27,2025,29/06/2025,LONDRINA,PR,1,1,1,1
MINIONS RUN,4948,48,2025,23/11/2025,BELO HORIZONTE,MG,1,1,0,0
CORRIDA ITATIAIA 2025,4917,32,2025,03/08/2025,BELO HORIZONTE,MG,1,1,1,0
CORRIDA ARENA MRV,4917,49,2025,30/11/2025,BELO HORIZONTE,MG,1,1,0,0
MARATONA DE JURERE 2025,4904,44,2025,01/11/2025,FLORIANOPOLIS,SC,1,1,1,1
LIVE! RUN XP 2025 - SAO PAULO II,4885,29,2025,13/07/2025,SAO PAULO,SP,1,1,0,0
MEIA MARATONA PRF 191,4865,46,2025,09/11/2025,NATAL,RN,1,1,1,0
PATIO GOURMET RUN 10 - EDICAO COMEMORATIVA,4857,44,2025,26/10/2025,MANAUS,AM,1,1,0,0
MEIA MARATONA DA AMAZONIA,4833,38,2025,14/09/2025,BELEM,PA,1,1,1,0
BIMBO GLOBAL RACE 2025 - SAO PAULO,4812,40,2025,28/09/2025,SAO PAULO,SP,1,1,0,0
14 CIRCUITO ANAPOLINO DE CORRIDA DE RUA - 8 ETAPA - NIGHT,4805,49,2025,06/12/2025,ANAPOLIS,GO,1,0,0,0
CORRIDAS DO BAHEA,4774,24,2025,08/06/2025,SALVADOR,BA,1,1,0,0
14 CIRCUITO ANAPOLINO DE CORRIDA DE RUA - ETAPA 4,4773,25,2025,15/06/2025,ANAPOLIS,GO,1,0,0,0
BIMBO GLOBAL RACE 2025 - RIO DE JANEIRO,4625,40,2025,28/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
NEW BALANCE - RIO DE JANEIRO - 2025,4609,44,2025,26/10/2025,RIO DE JANEIRO,RJ,0,1,1,0
14 CIRCUITO ANAPOLINO DE CORRIDA DE RUA - ETAPA 6 BASE,4588,40,2025,28/09/2025,ANAPOLIS,GO,1,0,0,0
CORRIDONA,4574,28,2025,06/07/2025,BRASILIA,DF,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - BRASILIA,4546,27,2025,29/06/2025,BRASILIA,DF,1,1,1,0
7 BATMAN & BATGIRL RUN SERIES,4536,37,2025,13/09/2025,SAO PAULO,SP,1,1,0,0
CIRCUITO ADULTO DE CORRIDAS CURITIBA - 2 ETAPA,4526,29,2025,13/07/2025,CURITIBA,PR,1,1,0,0
CIRCUITO ADULTO DE CORRIDAS CURITIBA - 4 ETAPA,4509,44,2025,26/10/2025,CURITIBA,PR,1,1,0,0
DESAFIO DA PONTE 2025,4501,32,2025,03/08/2025,NITEROI,RJ,0,0,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - BRASILIA,4479,50,2025,07/12/2025,BRASILIA,DF,1,1,0,0
MEIA MARATONA DE PIRACICABA,4455,50,2025,07/12/2025,PIRACICABA,SP,1,1,1,0
JINGLE BELLS 2025,4443,50,2025,13/12/2025,BRASILIA,DF,1,0,0,0
CIRCUITO ADIDAS MDR 2025 - RECIFE,4437,45,2025,02/11/2025,RECIFE,PE,0,1,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - SALVADOR,4436,51,2025,14/12/2025,SALVADOR,BA,1,1,0,0
7 CORRIDA FARMACIA ZE DO BAIRRO,4422,38,2025,14/09/2025,ARACAJU,SE,1,1,1,0
CIRCUITO LIGHT RIO ANTIGO - ETAPA CINELANDIA,4418,38,2025,14/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
CIRCUITO ADULTO DE CORRIDAS CURITIBA - 3 ETAPA,4396,39,2025,21/09/2025,CURITIBA,PR,1,1,0,0
CIRCUITO ALL RUNNING - 2 ETAPA,4394,25,2025,15/06/2025,RIO DE JANEIRO,RJ,1,0,0,0
CORRIDA SAO VICENTE DO ALVINEGRO 2025,4387,46,2025,09/11/2025,PIRACICABA,SP,1,1,1,0
MEIA DE SANTOS 2025,4378,23,2025,01/06/2025,SANTOS,SP,0,1,1,0
CORRIDA BOB ESPONJA EM BUSCA DA CALCA QUADRADA - SP,4358,51,2025,20/12/2025,SAO PAULO,SP,1,0,0,0
BONISSIMA RUN 2025 - ETAPA INVERNO,4339,31,2025,27/07/2025,BELO HORIZONTE,MG,1,1,1,0
CIRCUITO S RUN EDICAO SAO PAULO 2025,4303,23,2025,01/06/2025,SAO PAULO,SP,1,1,0,0
DESAFIO BETO CARRERO WORLD 2025,4289,31,2025,01/08/2025,PENHA,SC,1,1,1,1
LA MISION 2025,4261,33,2025,14/08/2025,PASSA QUATRO,MG,0,1,1,1
BARBIE RUN SAO PAULO,4251,46,2025,09/11/2025,SAO PAULO,SP,0,1,0,0
CORRIDA MAE APARECIDA 2025,4229,24,2025,14/06/2025,APARECIDA,SP,1,1,0,0
DISNEY MAGIC RUN 2025,4211,42,2025,12/10/2025,RIO DE JANEIRO,RJ,0,1,0,0
27 CORRIDA PEDESTRE PMPR - CORONEL SARMENTO,4178,35,2025,24/08/2025,CURITIBA,PR,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - SALVADOR,4167,30,2025,20/07/2025,SALVADOR,BA,1,1,1,0
GIRL POWER 2025 - BRASILIA,4117,47,2025,16/11/2025,BRASILIA,DF,1,1,0,0
3 CORRIDA CESAN,4070,53,2025,28/12/2025,VILA VELHA,ES,0,1,0,0
BOPE SUNSET RUN 4,4018,48,2025,29/11/2025,BELEM,PA,0,1,0,0
CEARA SEM FOME,4013,42,2025,18/10/2025,FORTALEZA,CE,1,0,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - CURITIBA,3987,30,2025,20/07/2025,CURITIBA,PR,1,1,0,0
MEIA MARATONA DO SOL 2025,3979,38,2025,20/09/2025,NATAL,RN,0,0,1,0
CORRIDA MULHER-MARAVILHA SAO PAULO,3964,48,2025,23/11/2025,SAO PAULO,SP,1,0,0,0
MARATONA INTERNACIONAL DE JOAO PESSOA 2025,3958,32,2025,03/08/2025,JOAO PESSOA,PB,1,1,1,1
LIVE! RUN XP 2025 - BRASILIA I,3953,24,2025,08/06/2025,BRASILIA,DF,1,1,1,0
SESC+CORRIDAS   ETAPA GUARA,3930,26,2025,22/06/2025,BRASILIA,DF,1,1,1,0
HELLO KITTY AND FRIENDS FUN RUN,3900,32,2025,03/08/2025,SAO PAULO,SP,1,1,0,0
CORRIDA EM FAMILIA - REDE COMPRAS,3891,34,2025,17/08/2025,CAMPINA GRANDE,PB,1,1,1,0
NIGHT RUN 2025 - ETAPA 1 - SALVADOR,3891,42,2025,18/10/2025,SALVADOR,BA,1,1,1,0
NIGHT RUN - CAMPINAS - 2025,3883,37,2025,13/09/2025,CAMPINAS,SP,1,1,0,0
CIRCUITO BANCO DO BRASIL 2025 - BRASILIA,3881,49,2025,30/11/2025,BRASILIA,DF,1,1,0,0
TRACK&FIELD RUN SERIES 2025 - JK II,3877,32,2025,03/08/2025,SAO PAULO,SP,1,1,0,0
PALMEIRAS RUN 2025,3825,50,2025,07/12/2025,SAO PAULO,SP,1,1,0,0
BLUE RUN - SAO PAULO,3820,30,2025,20/07/2025,SAO PAULO,SP,1,1,0,0
6 MEIA MARATONA DA RESERVA,3790,39,2025,21/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
CORRIDA SANTOS DUMONT - 2025,3770,41,2025,05/10/2025,RIO DE JANEIRO,RJ,1,0,0,0
CORRIDA DOS PROFESSORES - 2025,3742,42,2025,12/10/2025,RIO DE JANEIRO,RJ,1,0,0,0
CORRIDA POUPEX 2025,3666,29,2025,19/07/2025,BRASILIA,DF,1,1,0,0
XIII CORRIDA DA RONE,3662,31,2025,27/07/2025,CURITIBA,PR,0,1,0,0
BOTA PRA CORRER - SALVADOR - 2025,3655,48,2025,23/11/2025,SALVADOR,BA,1,1,0,0
CIRCUITO SESC DE CORRIDAS - ETAPA FORTALEZA,3649,48,2025,23/11/2025,FORTALEZA,CE,1,1,0,0
TRACK&FIELD RUN SERIES 2025 - ESPORTE CLUBE PINHEIROS,3646,38,2025,14/09/2025,SAO PAULO,SP,1,1,0,0
LIVE! RUN XP 2025 - BRASILIA II,3643,43,2025,19/10/2025,BRASILIA,DF,1,1,1,0
ECLIPSE NIGHT RUN - LUA CHEIA,3641,32,2025,09/08/2025,RIO DE JANEIRO,RJ,1,0,0,0
CORRIDA DA ACADEMIA DE POLICIA DO BARRO BRANCO,3640,35,2025,24/08/2025,SAO PAULO,SP,1,1,0,0
2 CORRIDA DROGARIA RECIFE RUN,3635,43,2025,19/10/2025,RECIFE,PE,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - SALVADOR,3631,40,2025,28/09/2025,SALVADOR,BA,1,1,1,0
SUPER HUMANS - SAO PAULO - 2025,3620,39,2025,21/09/2025,SAO PAULO,SP,1,1,0,0
CORRIDA DO GREMIO - 2025,3617,44,2025,26/10/2025,PORTO ALEGRE,RS,1,1,0,0
18 CORRIDA UNIMED FORTALEZA,3614,43,2025,19/10/2025,FORTALEZA,CE,1,1,1,0
CORRIDAS CURITIBA 2025 - ETAPA 4,3612,32,2025,09/08/2025,PINHAIS,PR,1,1,0,0
ECO RUN 2025 - RECIFE,3585,41,2025,05/10/2025,RECIFE,PE,1,1,0,0
